Date,Open,High,Low,Close
01/02/1990,359.69,359.69,351.98,359.69
01/03/1990,358.76,360.59,357.89,358.76
01/04/1990,355.67,358.76,352.89,355.67
01/05/1990,352.2,355.67,351.35,352.2
01/08/1990,353.79,354.24,350.54,353.79
01/09/1990,349.62,354.17,349.61,349.62
01/10/1990,347.31,349.62,344.32,347.31
01/11/1990,348.53,350.14,347.31,348.53
01/12/1990,339.93,348.53,339.49,339.93
01/15/1990,337.0,339.94,336.57,337.0
01/16/1990,340.75,340.75,333.37,340.75
01/17/1990,337.4,342.01,336.26,337.4
01/18/1990,338.19,338.38,333.98,338.19
01/19/1990,339.15,340.48,338.19,339.15
01/22/1990,330.38,339.96,330.28,330.38
01/23/1990,331.61,332.76,328.67,331.61
01/24/1990,330.26,331.71,324.17,330.26
01/25/1990,326.08,332.33,325.33,326.08
01/26/1990,325.8,328.58,321.44,325.8
01/29/1990,325.2,327.31,321.79,325.2
01/30/1990,322.98,325.73,319.83,322.98
01/31/1990,329.08,329.08,322.98,329.08
02/01/1990,328.79,329.86,327.76,328.79
02/02/1990,330.92,332.1,328.09,330.92
02/05/1990,331.85,332.16,330.45,331.85
02/06/1990,329.66,331.86,328.2,329.66
02/07/1990,333.75,333.76,326.55,333.75
02/08/1990,332.96,336.09,332.0,332.96
02/09/1990,333.62,334.6,332.41,333.62
02/12/1990,330.08,333.62,329.97,330.08
02/13/1990,331.02,331.61,327.92,331.02
02/14/1990,332.01,333.2,330.64,332.01
02/15/1990,334.89,335.21,331.61,334.89
02/16/1990,332.72,335.64,332.42,332.72
02/20/1990,327.99,332.72,326.26,327.99
02/21/1990,327.67,328.17,324.47,327.67
02/22/1990,325.7,330.98,325.7,325.7
02/23/1990,324.15,326.15,322.1,324.15
02/26/1990,328.67,328.67,323.98,328.67
02/27/1990,330.26,331.94,328.47,330.26
02/28/1990,331.89,333.48,330.16,331.89
03/01/1990,332.74,334.4,331.08,332.74
03/02/1990,335.54,335.54,332.72,335.54
03/05/1990,333.74,336.38,333.49,333.74
03/06/1990,337.93,337.93,333.57,337.93
